TEST TYPE	UPDATE MILLISECS	NUM FIGHTER	NUM BLUE	NUM PURPLE	ALIVE
SCALAR	49	1040	16	1024	734
SCALAR	46	1040	16	1024	733
SCALAR	33	1040	16	1024	733
SCALAR	55	1040	16	1024	733
SCALAR	33	1040	16	1024	733
SCALAR	29	1040	16	1024	733
SCALAR	28	1040	16	1024	733
SCALAR	30	1040	16	1024	732
SCALAR	38	1040	16	1024	732
SCALAR	51	1040	16	1024	732
SCALAR	49	1040	16	1024	729
SCALAR	61	1040	16	1024	726
SCALAR	40	1040	16	1024	726
SCALAR	40	1040	16	1024	726
SCALAR	33	1040	16	1024	725
SCALAR	38	1040	16	1024	725
SCALAR	32	1040	16	1024	725
SCALAR	56	1040	16	1024	725
SCALAR	34	1040	16	1024	725
SCALAR	46	1040	16	1024	724
SCALAR	46	1040	16	1024	724
SCALAR	34	1040	16	1024	724
SCALAR	33	1040	16	1024	724
SCALAR	35	1040	16	1024	724
SCALAR	63	1040	16	1024	723
SCALAR	32	1040	16	1024	721
SCALAR	42	1040	16	1024	720
SCALAR	48	1040	16	1024	718
SCALAR	68	1040	16	1024	718
SCALAR	50	1040	16	1024	718
SCALAR	37	1040	16	1024	718
SCALAR	35	1040	16	1024	718
SCALAR	48	1040	16	1024	718
SCALAR	46	1040	16	1024	718
SCALAR	47	1040	16	1024	717
SCALAR	45	1040	16	1024	717
SCALAR	36	1040	16	1024	717
SCALAR	48	1040	16	1024	717
SCALAR	34	1040	16	1024	717
SCALAR	35	1040	16	1024	716
SCALAR	41	1040	16	1024	715
SCALAR	31	1040	16	1024	715
SCALAR	45	1040	16	1024	714
SCALAR	35	1040	16	1024	714
SCALAR	44	1040	16	1024	714
SCALAR	49	1040	16	1024	713
SCALAR	49	1040	16	1024	712
SCALAR	54	1040	16	1024	712
SCALAR	52	1040	16	1024	712
SCALAR	48	1040	16	1024	712
SCALAR	39	1040	16	1024	712
SCALAR	38	1040	16	1024	712
SCALAR	90	1040	16	1024	711
SCALAR	39	1040	16	1024	711
SCALAR	41	1040	16	1024	711
SCALAR	38	1040	16	1024	710
SCALAR	40	1040	16	1024	710
SCALAR	36	1040	16	1024	709
SCALAR	30	1040	16	1024	708
SCALAR	42	1040	16	1024	707
SCALAR	29	1040	16	1024	707
SCALAR	32	1040	16	1024	707
SCALAR	38	1040	16	1024	707
SCALAR	34	1040	16	1024	706
SCALAR	39	1040	16	1024	706
SCALAR	35	1040	16	1024	706
SCALAR	53	1040	16	1024	705
SCALAR	39	1040	16	1024	705
SCALAR	32	1040	16	1024	705
SCALAR	31	1040	16	1024	703
SCALAR	27	1040	16	1024	703
SCALAR	31	1040	16	1024	702
SCALAR	56	1040	16	1024	702
SCALAR	33	1040	16	1024	702
SCALAR	30	1040	16	1024	702
SCALAR	31	1040	16	1024	702
SCALAR	29	1040	16	1024	702
SCALAR	27	1040	16	1024	701
SCALAR	37	1040	16	1024	700
SCALAR	26	1040	16	1024	699
SCALAR	28	1040	16	1024	699
SCALAR	27	1040	16	1024	699
SCALAR	52	1040	16	1024	699
SCALAR	59	1040	16	1024	699
SCALAR	53	1040	16	1024	699
SCALAR	49	1040	16	1024	699
SCALAR	48	1040	16	1024	699
SCALAR	50	1040	16	1024	698
SCALAR	29	1040	16	1024	698
SCALAR	29	1040	16	1024	698
SCALAR	25	1040	16	1024	697
SCALAR	32	1040	16	1024	697
SCALAR	29	1040	16	1024	697
SCALAR	29	1040	16	1024	697
SCALAR	26	1040	16	1024	697
SCALAR	30	1040	16	1024	696
SCALAR	31	1040	16	1024	696
SCALAR	34	1040	16	1024	696
SCALAR	38	1040	16	1024	696
SCALAR	40	1040	16	1024	696
SCALAR	29	1040	16	1024	696
SCALAR	30	1040	16	1024	696
SCALAR	61	1040	16	1024	696
SCALAR	27	1040	16	1024	696
SCALAR	28	1040	16	1024	696
SCALAR	29	1040	16	1024	696
SCALAR	24	1040	16	1024	696
SCALAR	25	1040	16	1024	696
SCALAR	30	1040	16	1024	695
SCALAR	25	1040	16	1024	694
SCALAR	29	1040	16	1024	694
SCALAR	33	1040	16	1024	694
SCALAR	42	1040	16	1024	694
SCALAR	46	1040	16	1024	694
SCALAR	68	1040	16	1024	693
SCALAR	53	1040	16	1024	692
SCALAR	55	1040	16	1024	691
SCALAR	133	1040	16	1024	691
SCALAR	64	1040	16	1024	691
SCALAR	61	1040	16	1024	690
SCALAR	42	1040	16	1024	690
SCALAR	42	1040	16	1024	690
SCALAR	45	1040	16	1024	690
SCALAR	33	1040	16	1024	690
SCALAR	54	1040	16	1024	689
SCALAR	43	1040	16	1024	688
SCALAR	68	1040	16	1024	688
SCALAR	54	1040	16	1024	687
SCALAR	29	1040	16	1024	686
SCALAR	54	1040	16	1024	685
SCALAR	28	1040	16	1024	684
SCALAR	34	1040	16	1024	684
SCALAR	52	1040	16	1024	684
SCALAR	46	1040	16	1024	684
SCALAR	34	1040	16	1024	683
SCALAR	48	1040	16	1024	682
SCALAR	34	1040	16	1024	682
SCALAR	34	1040	16	1024	682
SCALAR	35	1040	16	1024	681
SCALAR	24	1040	16	1024	681
SCALAR	29	1040	16	1024	680
SCALAR	56	1040	16	1024	680
SCALAR	63	1040	16	1024	680
SCALAR	54	1040	16	1024	679
